year;sierra;escalera;casco;malet√≠n;cono;cubo;linterna;chaleco;martillo;pincel;pala;manguera;taladro;polea;destornillador
1870;0,0018009966100050534;0,0009275135133585926;0,0007070816666652847;8,513586026635624e-07;0,00044691037146549206;0,00017056550112621544;0,00019399657276153448;0,0001296845230821678;0,00029174452395506833;0,00044816210252715137;0,00024264173654436102;1,288623638272059e-05;7,311087557582141e-05;7,166663473461605e-05;4,389665519966002e-07
1871;0,001740653845315267;0,0008370911733176659;0,0005119553926696037;5,0959824296878e-07;0,0004619600856260929;0,00017366179625761497;0,00017681095739265271;0,00012599699792709934;0,00027999048727776554;0,0003849152432979151;0,00023935697949387498;1,1942544553278367e-05;7,530632270150559e-05;6,730076579840118e-05;3,573772516014222e-07
1872;0,0017430401775137788;0,0008825202907506277;0,000516961699759122;8,087094549580343e-07;0,00047694898707309875;0,0001857287186014998;0,00016900353817358597;0,00011876139508006287;0,0002859309558646471;0,00038133421834832655;0,000237763707186137;4,985946830008256e-06;6,880016749326907e-05;6,38694643839699e-05;6,564884635906765e-07
1873;0,0018377477577554862;0,0008558365477386229;0,0005286936292187809;9,8172435260478e-07;0,0004891372165210279;0,0002011301018813226;0,00018046686786224849;0,00010653696449480776;0,0002905601669616382;0,0003986387062988277;0,00024260728293614065;4,727952619885757e-06;7,093987071422296e-05;5,936184704426393e-05;9,550545370424452e-07
1874;0,001968164113869924;0,0009125804613826663;0,0005326575319486437;9,8172435260478e-07;0,0005163876072141907;0,00022867390206166808;0,0001645281453680322;0,00011687490168047328;0,00030422329473367427;0,0004113130704094406;0,0002506627197362832;4,379185509455803e-06;7,74298048408387e-05;6,779812825438316e-05;1,5556878832764402e-06
1875;0,002110632392162058;0,0009061559077443754;0,0005860793927630377;1,2818621719645762e-06;0,0005240058011882606;0,0002382093985683501;0,00017554157076509519;0,00011214396278904002;0,00031118328739207106;0,0004153365125603159;0,000252551610304051;4,41434808706731e-06;8,973890897680446e-05;7,148941481968254e-05;1,8270991196191389e-06
1876;0,002089072924198782;0,0008776639853229945;0,0005971107254611395;1,2303712461557228e-06;0,0005215368868708278;0,00022478671520989986;0,0001753731437150106;0,00011875190304116195;0,00030118657312933853;0,00037153851215927195;0,0002516473581895947;6,261542281496954e-06;6,615491230377302e-05;6,290737571492042e-05;2,4429966494210476e-06
1877;0,0022338963909922832;0,0008349557317290288;0,0005985115097116379;1,96647570608174e-06;0,0005320358078669025;0,00022410783913073828;0,0001471375575030314;0,00011179027085615547;0,0003093464426586122;0,0003696696142339663;0,000247581767455683;6,242532015120008e-06;7,38748200644425e-05;6,894406396895647e-05;2,5902175388685985e-06
1878;0,0023400274325727616;0,0008601963015410416;0,0006266705635685607;2,0677482329542078e-06;0,0005238988186257691;0,00023437730435814174;0,00016301109358859582;0,00011040484244923782;0,0003186518272611595;0,00038823872858171986;0,0002661587132024579;8,683911304327044e-06;8,122520763923344e-05;8,843102453478682e-05;3,251198662671381e-06
1879;0,00238433936569241;0,0008292348021703738;0,0006350948426968119;2,197884211138249e-06;0,0005053097733512654;0,00022382181766390986;0,00016744353388276068;0,00011984449364328093;0,00034052560035239106;0,00040236351911257116;0,00028633937745325966;9,965179665576735e-06;8,371721134738306e-05;9,991779929155849e-05;3,2382522441309902e-06
1880;0,002413062611594796;0,0008282249902029954;0,0006250634734377465;2,0312758459389054e-06;0,0004989703679062327;0,00022178027977913316;0,00014038889568317764;0,0001254455810340005;0,00034693624521813557;0,00040462106036492126;0,0002817548095533441;1,0538341602536353e-05;8,159806027054271e-05;9,61698240027025e-05;3,071643878931647e-06
1881;0,0023991647269992556;0,0008430366441254072;0,0006401964583346853;2,0312758459389054e-06;0,0004796710462479885;0,00021879693576920545;0,0001590025168038015;0,00012317409852715042;0,00033766047766091233;0,00042037042606222846;0,0002699274805958599;1,0822556108434713e-05;8,667272806763191e-05;8,077840131396183e-05;2,8383552904845795e-06
1882;0,002372686217963097;0,0008983176160524766;0,0006423073955375003;2,1547739085089494e-06;0,0005319862014273115;0,00022657431730164845;0,00016048835504989256;0,000123506669069684;0,0003300506185561452;0,00042123028833884746;0,00027012320060748607;1,0919483323894902e-05;8,115310947687249e-05;8,300086692867938e-05;2,9529963871003214e-06
1883;0,00233842152478506;0,0009410710520439483;0,0006868604097170257;2,9562368045584923e-06;0,0005341383647256796;0,0002450656016402978;0,00016748617781559005;0,00012503134761183382;0,0003232894999070725;0,0004312158482987018;0,00026426844539985595;1,1595186931247423e-05;7,759819555173766e-05;8,969290783105472e-05;3,1560450380092268e-06
1884;0,002286744087801448;0,0009815190683834121;0,0006953567468112201;3,5849995733932313e-06;0,0005385277420698133;0,00022294115719237846;0,00020073377169995055;0,00014211677807907108;0,00032705154028787674;0,00044493068734092437;0,00026318592257926606;1,2044526239865911e-05;7,218478685899754e-05;8,701996786645136e-05;3,418284296888682e-06
1885;0,002236617027457604;0,0009508907753895204;0,0006863907856313745;3,4349852359330924e-06;0,0005313510947806728;0,00021173896292176711;0,00019275869687719805;0,00014377288185382246;0,00032096457159371184;0,0004188794004481419;0,0002473105236536607;1,2232302180694076e-05;6,210485789129702e-05;6,629807631140596e-05;2,838401310814983e-06
1886;0,0022914843741870883;0,0009409130598214688;0,0006832655344624072;3,4637334905036302e-06;0,0005180894861821019;0,00022227911813388346;0,00019485435456902323;0,00013877010555266419;0,00030858790458816135;0,00040246932258014567;0,0002358749660353559;1,160297021637494e-05;8,723958200919566e-05;7,91268904874544e-05;2,5522365173661195e-06
1887;0,0023488542865379713;0,000934269688254322;0,0007122809165593935;3,799265346771108e-06;0,0005221510231682;0,00024234244619947276;0,00021078235801854007;0,0001391991824155931;0,0003130422783215181;0,000401803546472885;0,00023177938146545785;1,3322075176347425e-05;8,735614349981396e-05;8,664420404004756e-05;4,874598984778393e-06
1888;0,0023741300278093797;0,0008708227271979143;0,0006906900710289067;5,494544083209771e-06;0,0005346768180710829;0,00023456705256259217;0,00019690353058519704;0,00013476151983533264;0,0003118284472033598;0,00038682274277692026;0,00023084842268872308;1,3974431871994447e-05;8,306837295484521e-05;8,206085258929566e-05;4,815486726832725e-06
1889;0,0023407072668695556;0,0008255618013208732;0,0006962044283552261;7,67316114139557e-06;0,0005108011139652392;0,00021403217098330582;0,00018721175203089451;0,00014043964467548773;0,0003150758240216029;0,00035821601289041737;0,00022795458270203587;1,598963836256319e-05;9,11471017518904e-05;7,86705486786689e-05;5,031314742609538e-06
1890;0,002262481913411258;0,0007976634411274322;0,0006742833972696514;9,30103860596887e-06;0,0005247248931742174;0,00021284922045846803;0,00018274284099918856;0,00012919730595837921;0,00032219475737552524;0,00035787219790758433;0,00023393240228740197;1,658179919721598e-05;9,613613128424601e-05;6,907102902329955e-05;4,212368561898724e-06
1891;0,0023522039035534753;0,0007880793028951821;0,0006782001297064458;8,65501858119241e-06;0,0005502920365480739;0,00022293355966342333;0,00015907828745704528;0,0001140130101313324;0,00032574281314217454;0,0003521828505524484;0,00023983500341273611;1,7251552313674828e-05;9,971957167311172e-05;7,322414968971966e-05;3,946677854368577e-06
1892;0,002489465337670741;0,0007897466080716445;0,0006564786937295659;1,1864673662590316e-05;0,0005672911941344085;0,00022419714988635472;0,00014957053216286504;0,00011387242986009887;0,00032789706503016144;0,0003541270936174052;0,00023718575253691858;1,6536090186036745e-05;9,912752432228444e-05;7,747357934866679e-05;4,7556363672437584e-06
1893;0,0024228576876339503;0,0007633060509501125;0,0006667742647031056;1,1940376205237563e-05;0,0005982164306520385;0,00023633882619833457;0,00014792310594202718;0,00011146892282860272;0,0003315554327595497;0,00034371249577296633;0,00023885598433740336;1,8403088120066968e-05;7,347127320502165e-05;5,974993127568138e-05;5,28933435463484e-06
1894;0,0022533523016526097;0,0007469566688606781;0,0006356235384633432;1,419475660822757e-05;0,0005920259354752488;0,00022085205111060143;0,00014183759243938506;0,00011653945486094535;0,00032584227938059485;0,00033153535241581267;0,00025466450616867017;1,7438211687346795e-05;7,269087884001888e-05;5,212944407568492e-05;3,223852753007707e-06
1895;0,0021522559368999544;0,0007198086742781536;0,0006674966438627702;1,3304709410379344e-05;0,0005971006560555127;0,00022043366081041834;0,00013635120857153588;0,0001163977507141161;0,00032514358281332534;0,0003216450197994293;0,0002625373619074318;2,28956336302742e-05;7,650086096029034e-05;5,233217409892989e-05;3,452441278893405e-06
1896;0,002072538895195716;0,0006886898388204697;0,0006576525850375349;1,1666856230314287e-05;0,0006160781335243623;0,00023652305571886245;0,0001424100316528763;0,00011062355075150014;0,0003210122063787172;0,00032673251553205773;0,00027282356508554325;2,2323604907472016e-05;6,325256224824573e-05;5,136227798629989e-05;2,792315407467478e-06
1897;0,0020561513598035424;0,0006637788698883794;0,0006379803250768289;1,304453951839995e-05;0,0005885545760975219;0,00022886145935834587;0,00014683127704172096;0,00011899733993102148;0,00032660124946102897;0,00033551592813247614;0,0002765455064945854;2,2454123081518317e-05;6,345040008324889e-05;6,583566687368148e-05;2,8913403544399737e-06
1898;0,0017942229663146592;0,0006510064460079386;0,0006433718226617202;1,2991019307914291e-05;0,0005764341884579542;0,00023035930943089103;0,0001553951717271827;0,00012971008069533646;0,00031611516208483536;0,00032926806332917683;0,0002839557380087042;2,2006023568467625e-05;6,28861641871481e-05;6,953798837067942e-05;3,4128979071417528e-06
1899;0,0016593702119800063;0,0006381379080266925;0,0006413263560846515;1,0807552135767245e-05;0,000562754374706336;0,0002288242009334291;0,00015369526603795487;0,00012820929587828038;0,0003097820094158773;0,0003257713030637076;0,00028901015411975095;2,5322635061846608e-05;6,323967706326325e-05;6,70143326228104e-05;3,2112803908087728e-06
1900;0,001660692045594;0,0006467238888165282;0,0006414309934500904;1,1720628175940614e-05;0,000584456133115704;0,0002260609384003536;0,0001580629519334512;0,00012627225162629787;0,00030139562698293176;0,0003208861049383164;0,0002937363498339047;2,5837047904328104e-05;7,571088117076994e-05;6,052637502307334e-05;3,835001605168031e-06
1901;0,0016509193171389469;0,0006739837057726358;0,0006667927469347237;9,49100089948323e-06;0,0006373516563534005;0,00023384597917746372;0,00015769096860042606;0,00011739261935872491;0,0002958340701297857;0,00031126833489127293;0,0002973680596239449;3,252516234754564e-05;8,532338102083616e-05;6,594809462967532e-05;4,52909695144602e-06
1902;0,0017381145750862614;0,0007133514632836782;0,0006495718740292691;1,0094286447984554e-05;0,0006603057759743283;0,0002289483047336814;0,00017104824629703735;0,00011612055378204138;0,0003023047156602843;0,00031409769495179977;0,00030055386365087803;3,157885950193824e-05;8,628407865022123e-05;7,183939406526665e-05;4,1683405616055325e-06
1903;0,0018924994687300307;0,0007518221601847992;0,0005970094467297063;1,1947178687624467e-05;0,0006674958513031015;0,00023297576490222127;0,00017196878323894843;0,00011989789153890991;0,0003097520643028214;0,0003251777180984001;0,00029515276115229687;3,3954549800390464e-05;9,621490936037195e-05;7,89393997787816e-05;4,04779059159921e-06
1904;0,0019426284520055299;0,0007272140270028363;0,000684641281623044;1,006503259150447e-05;0,0007112135595629557;0,00022897224718170558;0,0001752961160101612;0,00011299958048636784;0,00033289805157567443;0,00030524923074283706;0,00030134141785051076;3,4090369435294375e-05;0,00011042094212955687;7,883132095035503e-05;4,1086773348654655e-06
1905;0,0020185599298981416;0,0007331651626632915;0,000673747328099645;1,1177730994761856e-05;0,000716805841096045;0,0002423420629124199;0,00018057059735708338;0,00010388489905770775;0,0003340281507137531;0,0003147406817203903;0,0003078694947232309;3,8783150760731845e-05;0,00011144404084006965;7,115491606717634e-05;4,544032807172828e-06
1906;0,0020408048710253623;0,00075383681438065;0,0006842102655874831;1,0854468105289275e-05;0,0007644263795165379;0,00025417438272208007;0,00019070622881502328;0,00010434999515902227;0,0003473916909310252;0,00032432845468325207;0,0003171946121126114;3,7597440487908375e-05;0,00011547541508402252;7,922595597977176e-05;3,914944762024268e-06
1907;0,002097612819592801;0,0007370167817758297;0,0006902902506616167;1,016759725303018e-05;0,000741597380381011;0,0002515663124670807;0,00018811023697448296;0,00010659722745133746;0,0003480598999366131;0,00033379705135822794;0,000317123375940095;3,9201927799175405e-05;0,0001033983202043081;9,54000613871488e-05;3,0614868354713764e-06
1908;0,002096592522450789;0,00070374294409703;0,000662674600399831;1,1130188377299938e-05;0,0007333756392264539;0,00026102228015848335;0,00018741945463521655;0,00010296885355793556;0,00035166026464139577;0,00034391825270826563;0,0003144613109335686;3,6986760067390734e-05;9,563376741945312e-05;9,491384876777634e-05;2,251334255528751e-06
1909;0,0020990827969009323;0,000685504690929;0,0006605106916270285;1,0565503925720674e-05;0,000736863577393316;0,00027741314495090464;0,00018438072889434158;0,00010389979934188887;0,00036226287777805865;0,00036325476945161687;0,00032071477237747913;3,7586106113199745e-05;0,00010214996888992443;0,00011138590951174723;3,087868741654834e-06
1910;0,0019696340262141477;0,0006663485822043315;0,0006703352417909107;8,529169091632736e-06;0,0007114224704959529;0,00026832387253047533;0,00018079245559679942;0,00010737883582935735;0,0003515451128675652;0,00037712477803454803;0,00032781597708110766;3,543638383364721e-05;9,514847972371041e-05;0,00011137568906503605;3,4349608237148137e-06
1911;0,0019858324386794785;0,0006991294022944723;0,0006429938041817097;7,5690967398551435e-06;0,0007050187442863327;0,0002755207430839489;0,00017526956201306478;0,00011321087640681071;0,00032473761686040755;0,00041902040136067493;0,00032815263304135963;3,6946429255684575e-05;8,280423782837585e-05;0,00010796758666791511;5,684728142187266e-06
1912;0,002031961620169958;0,0006844790017826849;0,0006684690366195614;8,186010041250874e-06;0,0007008391224059908;0,0002763673819572432;0,00016994810201660066;0,00011502922916406533;0,0003388242930668639;0,00041632881675468525;0,00033063513131180244;3,45869795280253e-05;8,306308083254927e-05;0,0001196288808712;4,952497789645349e-06
1913;0,0020051739868774477;0,0006975958383139057;0,0006687816169557793;1,0210913765312008e-05;0,0006584367708585757;0,00028925885219775537;0,00017274886821334285;0,00011909244059487328;0,0003391467641579636;0,00041435401791594425;0,0003473438352687351;3,502738244216224e-05;8,922459479825713e-05;0,00012019629187826858;5,5083617667150975e-06
1914;0,0019513957210749921;0,0006795250556024257;0,0006410384230548516;9,69765212894507e-06;0,000651086851835966;0,00027494619741576443;0,00017424219842203975;0,00012037448868795764;0,0003501916873054662;0,00042634293809637057;0,0003699124558157304;3,4268470829244636e-05;9,420428130267413e-05;0,00011221144485976505;5,286614339945166e-06
1915;0,0019867704395437613;0,0006708574151811522;0,0006453881789119416;9,60646168327425e-06;0,0006152469982875378;0,00026196702265224303;0,00016867696461174222;0,00012500861105633833;0,0003543798486914186;0,00042484907680773176;0,00037178228272491;3,3176291935888e-05;9,218731114352912e-05;0,00011672456626651444;5,998686544320517e-06
1916;0,0020244200381317307;0,0006610589805079924;0,0006369202830163496;1,0078324689085808e-05;0,0005734811306215956;0,0002552078009492626;0,00016540525718612895;0,0001278723402720061;0,0003377228917348215;0,00041425082924563734;0,00037479820938252876;3,194156314683434e-05;8,180883810382511e-05;0,0001082690037687176;5,682632161655274e-06
1917;0,0020532992753682527;0,000649170150219496;0,0006496718210006033;1,1093262664019221e-05;0,0005955554570391541;0,0002662001000836816;0,0001642334106171412;0,00012558050944530156;0,00034949339351442177;0,00039583871642077744;0,0003764141216119502;3,548629154335815e-05;8,877395397835894e-05;0,00013030883759971142;6,6824614349972725e-06
1918;0,0020815916026809384;0,0006458338508049824;0,000566541595097598;1,100599329768264e-05;0,0005818380096960547;0,00026833062065634294;0,0001669247402397949;0,00012090841729721951;0,0003549132478448363;0,00037021910819540996;0,00037808948880930463;3,9262046211011435e-05;9,276035370930913e-05;0,00013525961841358885;4,590170193148018e-06
1919;0,002089447765943727;0,0006785359801142476;0,0005164311590176242;9,841689951883836e-06;0,0005778539161838125;0,00025848351827205206;0,00016158325674301262;0,0001266018330170482;0,0003461749916563609;0,00036668389579322787;0,0003803837216764805;4,1988375950755395e-05;9,319983697813379e-05;0,0001281099814929933;4,878056910787418e-06
1920;0,0020680562686590876;0,0006546307434161593;0,0005002232358362692;9,196160861384734e-06;0,0006151649683618286;0,00025113813373016977;0,00016302771622836839;0,0001243686548540219;0,0003319464342764279;0,0003629480131296857;0,00036745178541813014;4,567875342737742e-05;9,027434819992257e-05;0,00012504109625816845;5,032319900471245e-06
1921;0,00206912456113579;0,0007135285029237691;0,0004938187560453246;1,318702526223855e-05;0,0005950669544420505;0,00025821303942003785;0,000174500032049504;0,00012710102704919076;0,00031687888752328163;0,0003566331510488193;0,00034873229586602453;5,1484487682630834e-05;9,176734790474126e-05;0,0001263357538456538;6,229353185663708e-06
1922;0,0020687656225553447;0,0007601746022243917;0,0004832646417136337;1,2562819102462136e-05;0,0006041296923545555;0,00026031446590682857;0,00017842547939445858;0,00012559999536928705;0,00031671851112540547;0,0003659779232683442;0,00034794452728549786;4,8839775550797124e-05;9,122164783548214e-05;0,00012153628128024657;6,575486669443567e-06
1923;0,0019740436203262235;0,0007951504487989172;0,00047057594331688184;1,3470102696747483e-05;0,000600637693943489;0,00025554816147632664;0,00018453850023953628;0,0001318149429607729;0,0003198384060202183;0,00038108409431255756;0,0003457233463320465;4,709073441030601e-05;8,739603783526815e-05;0,00011025682462267078;6,8111589765099515e-06
1924;0,0020146636286101837;0,0008267551688082417;0,0004526690190687077;1,5232606794971355e-05;0,0005590516853512131;0,00025211287330811113;0,0001823796131767657;0,00013155328133507282;0,0003134268386669906;0,0003858342454675169;0,0003598376354472878;4,742018303107086e-05;8,466775430601306e-05;8,751634205899401e-05;6,045200759022659e-06
1925;0,0019083893286213943;0,0008315106502517924;0,0004541923057591443;1,836129221999272e-05;0,0005500313298918107;0,0002518650749802224;0,00018367802567809122;0,00013742318287768285;0,00031175336841572843;0,00038661606010594236;0,0003597472284257362;4,403537547302351e-05;7,747405723940963e-05;8,48931888088243e-05;6,100367804557599e-06
1926;0,0020133971962163094;0,0008203070917391284;0,0004576519456479998;2,1848625714986675e-05;0,0005351965877967554;0,00025826758311658135;0,0001854595195384588;0,00013450482226419678;0,00031687942347551664;0,00038818659179794073;0,0003572476056693371;4,16977020531054e-05;8,72243146789385e-05;8,732462869634869e-05;6,1344634514983094e-06
1927;0,0020170497009530663;0,0008287858431036252;0,00047089745619034924;2,3004413003085184e-05;0,0004881890553016481;0,00024272918933222954;0,00021393767610788927;0,00013979269916879794;0,0003333282750515666;0,0003852421059491462;0,00035705580947771;3,9732621408867476e-05;8,819234673345428e-05;8,939884586262841e-05;6,028385359156476e-06
1928;0,002063277705539284;0,0007979521407313378;0,0004728119815159257;2,301288795081291e-05;0,0005195545717080157;0,0002361142134889503;0,00020036422288935034;0,00013805174765885958;0,0003410995532249217;0,0003740250479365516;0,00035448879641210496;3,3807406753437264e-05;8,631939830853039e-05;8,470908759201328e-05;5,018724305979763e-06
1929;0,002016763366035385;0,0007753499695744332;0,0004537076425289602;2,6287210833483444e-05;0,0005288859093915173;0,0002180319191731022;0,00020160687037267574;0,00014048471744640016;0,00033920864227963775;0,00037528330787089156;0,00035226198633608874;3,566810278243793e-05;8,579263765438685e-05;8,260341896207788e-05;4,490489326412574e-06
1930;0,002078482845848027;0,0007496315772316718;0,0004511486882360519;2,77867568700328e-05;0,0005460951862395243;0,00021544835655212021;0,0001983423820612578;0,0001389999446083883;0,0003425996250630955;0,0003533757600442706;0,00035610305531008635;3,640867589638219e-05;9,32254790443819e-05;9,12202519235247e-05;4,488903598038567e-06
1931;0,0021210154955042526;0,0007282397681202772;0,0004469684297094188;2,7004815348975952e-05;0,0005558184966503177;0,00020265146401600632;0,00020210080557652485;0,00013961937546420295;0,00035518332229652775;0,00034689375232639056;0,00034300989812306525;3,6866677126974014e-05;0,0001175505295642714;9,05178938280317e-05;4,710028202379947e-06
1932;0,0021516234742843415;0,0007607045712835056;0,00045707747631240636;2,526014830956618e-05;0,0005533204395240838;0,0001960860881159273;0,00020764174613369893;0,00013677020466015425;0,00035792324004952595;0,00034141892553764464;0,00033522830043304045;3,7033553163772535e-05;0,00012296659325069674;8,529783761852221e-05;6,753001992519461e-06
1933;0,0020082136480985874;0,0007823141394120675;0,0004531433140592915;2,437815282974043e-05;0,0005627032740968778;0,00018711875944583362;0,00021743761148432635;0,0001462206065688016;0,00035375151128391735;0,00034684342803562425;0,00033202848693950467;3,7072191259669906e-05;0,00011515515520191651;7,673810305927223e-05;7,238932729438017e-06
1934;0,0020735458227656117;0,0007877384827484743;0,00044030629006946195;2,4205853930782594e-05;0,0005672689439961687;0,00019218775508176932;0,0001869732354212569;0,00014202151987774414;0,00035628982654348614;0,00033814977281768473;0,0003413563068274276;3,777221024847677e-05;0,00011663849558577307;7,793197158077549e-05;7,840137808809036e-06
1935;0,002071932716976984;0,0008124505711748498;0,0004471981420855238;2,2974599695706794e-05;0,0005571667250998351;0,0001959228321928614;0,00019521735826596602;0,00014811909880206388;0,00036481295800123395;0,0003490368596560854;0,00034404493232744116;4,272187084097823e-05;0,00011928145795536693;8,35374805774336e-05;9,193866087490018e-06
1936;0,002150226516407981;0,0008350591217874484;0,0004725316232777134;2,3213144727053858e-05;0,0005388586682134441;0,00020724613542759992;0,00019447055592536344;0,00014683211994841777;0,0003600881395219143;0,00033914027426362736;0,00034525115292386284;4,7097884297337646e-05;0,00013176556633100387;8,446266649895864e-05;9,099831593013213e-06
1937;0,0021855889956766206;0,0008355323903482972;0,0004847114334032605;2,198680074830658e-05;0,000546442340367191;0,0002041318111878354;0,00019205078680378004;0,00014385104317885374;0,00035930263493355596;0,0003544714737862315;0,0003510164235974246;4,985039489773564e-05;0,00012917092573973475;7,926785607586291e-05;9,48297988705755e-06
1938;0,002103443408226927;0,0008296092866138288;0,00048737966348458685;2,2789685414993854e-05;0,000546213414054364;0,00020580392369343566;0,00019555298617238544;0,00014959458017723852;0,00035254784052085597;0,0003646238448189771;0,00035501762860284155;5,102446323235199e-05;0,0001092255315273048;7,593789307845457e-05;9,832864427445592e-06
